name,city,nation,union_url
University of Aberdeen,Aberdeen,Scotland,
Abertay University,Dundee,Scotland,
Aberystwyth University,Aberystwyth,Wales,
Anglia Ruskin University,Cambridge,England,
Arden University,Coventry,England,
University of the Arts London,London,England,
Arts University Bournemouth,Bournemouth,England,
Arts University Plymouth,Plymouth,England,
Aston University,Birmingham,England,
Bangor University,Bangor,Wales,
Bath Spa University,Bath,England,
University of Bath,Bath,England,
University of Bedfordshire,Luton,England,
BIMM University,Brighton,England,
Birkbeck University of London,London,England,
University of Birmingham,Birmingham,England,
Birmingham City University,Birmingham,England,
Birmingham Newman University,Birmingham,England,
Bournemouth University,Bournemouth,England,
BPP University,London,England,
University of Bradford,Bradford,England,
University of Brighton,Brighton,England,
University of Bristol,Bristol,England,
Brunel University of London,London,England,
University of Buckingham,Buckingham,England,
Buckinghamshire New University,High Wycombe,England,
University of Cambridge,Cambridge,England,
Canterbury Christ Church University,Canterbury,England,
Cardiff Metropolitan University,Cardiff,Wales,
Cardiff University,Cardiff,Wales,
University of Chester,Chester,England,
University of Chichester,Chichester,England,
City St George's University of London,London,England,
Coventry University,Coventry,England,
Cranfield University,Cranfield,England,
University for the Creative Arts,Farnham,England,
University of Cumbria,Carlisle,England,
De Montfort University,Leicester,England,
University of Derby,Derby,England,
University of Dundee,Dundee,Scotland,
Durham University,Durham,England,
University of East Anglia,Norwich,England,
University of East London,London,England,
Edge Hill University,Ormskirk,England,
Edinburgh Napier University,Edinburgh,Scotland,
University of Edinburgh,Edinburgh,Scotland,
University of Essex,Colchester,England,
University of Exeter,Exeter,England,
Falmouth University,Falmouth,England,
Glasgow Caledonian University,Glasgow,Scotland,
University of Glasgow,Glasgow,Scotland,
University of Gloucestershire,Cheltenham,England,
Goldsmiths University of London,London,England,
University of Greater Manchester,Bolton,England,
University of Greenwich,London,England,
Harper Adams University,Newport,England,
Hartpury University,Gloucester,England,
Health Sciences University,Bournemouth,England,
Heriot-Watt University,Edinburgh,Scotland,
University of Hertfordshire,Hatfield,England,
University of the Highlands and Islands,Inverness,Scotland,
University of Huddersfield,Huddersfield,England,
University of Hull,Hull,England,
Imperial College London,London,England,
Keele University,Keele,England,
University of Kent,Canterbury,England,
King's College London,London,England,
Kingston University,London,England,
University of Lancashire,Preston,England,
Lancaster University,Lancaster,England,
University of Law,London,England,
Leeds Arts University,Leeds,England,
Leeds Beckett University,Leeds,England,
Leeds Trinity University,Leeds,England,
University of Leeds,Leeds,England,
University of Leicester,Leicester,England,
Bishop Grosseteste University,Lincoln,England,
University of Lincoln,Lincoln,England,
Liverpool Hope University,Liverpool,England,
Liverpool John Moores University,Liverpool,England,
University of Liverpool,Liverpool,England,
London Metropolitan University,London,England,
London School of Economics,London,England,
London South Bank University,London,England,
Loughborough University,Loughborough,England,
Manchester Metropolitan University,Manchester,England,
University of Manchester,Manchester,England,
Middlesex University,London,England,
Newcastle University,Newcastle upon Tyne,England,
University of Northampton,Northampton,England,
Northeastern University London,London,England,
Northumbria University,Newcastle upon Tyne,England,
Norwich University of the Arts,Norwich,England,
Nottingham Trent University,Nottingham,England,
University of Nottingham,Nottingham,England,
Open University,Milton Keynes,England,
Oxford Brookes University,Oxford,England,
University of Oxford,Oxford,England,
Plymouth Marjon University,Plymouth,England,
University of Plymouth,Plymouth,England,
University of Portsmouth,Portsmouth,England,
Queen Margaret University,Edinburgh,Scotland,
Queen Mary University of London,London,England,
Queen's University Belfast,Belfast,Northern Ireland,
Ravensbourne University London,London,England,
University of Reading,Reading,England,
Regent's University London,London,England,
Richmond American University London,London,England,
Robert Gordon University,Aberdeen,Scotland,
University of Roehampton,London,England,
Royal Agricultural University,Cirencester,England,
Royal Holloway University of London,Egham,England,
Royal Veterinary College,London,England,
University of Salford,Salford,England,
Sheffield Hallam University,Sheffield,England,
University of Sheffield,Sheffield,England,
SOAS University of London,London,England,
University of South Wales,Pontypridd,Wales,
Southampton Solent University,Southampton,England,
University of Southampton,Southampton,England,
University of St Andrews,St Andrews,Scotland,
St Mary's University Twickenham,London,England,
University of Staffordshire,Stoke-on-Trent,England,
University of Stirling,Stirling,Scotland,
University of Strathclyde,Glasgow,Scotland,
University of Suffolk,Ipswich,England,
University of Sunderland,Sunderland,England,
University of Surrey,Guildford,England,
University of Sussex,Brighton,England,
Swansea University,Swansea,Wales,
Teesside University,Middlesbrough,England,
Ulster University,Belfast,Northern Ireland,
University College Birmingham,Birmingham,England,
University College London,London,England,
University of Wales Trinity Saint David,Carmarthen,Wales,
University of Warwick,Coventry,England,
University of the West of England,Bristol,England,
University of the West of Scotland,Paisley,Scotland,
University of West London,London,England,
University of Westminster,London,England,
University of Winchester,Winchester,England,
University of Wolverhampton,Wolverhampton,England,
University of Worcester,Worcester,England,
Wrexham University,Wrexham,Wales,
York St John University,York,England,
University of York,York,England,
Courtauld Institute of Art,London,England,
Guildhall School of Music and Drama,London,England,
Institute of Contemporary Music Performance,London,England,
Liverpool Institute for Performing Arts,Liverpool,England,
London Academy of Music and Dramatic Art,London,England,
London Business School,London,England,
London Interdisciplinary School,London,England,
London School of Hygiene and Tropical Medicine,London,England,
National Film and Television School,Beaconsfield,England,
Northern School of Contemporary Dance,Leeds,England,
The Northern School of Art,Hartlepool,England,
Rose Bruford College,Sidcup,England,
Royal Academy of Music,London,England,
Royal Central School of Speech and Drama,London,England,
Royal College of Art,London,England,
Royal College of Music,London,England,
Royal Conservatoire of Scotland,Glasgow,Scotland,
Royal Northern College of Music,Manchester,England,
Trinity Laban Conservatoire of Music and Dance,London,England,
University College of Estate Management,Reading,England,
